Temps de latence : 2437 ms

N°Pt	SN	T	X	Y	Z	P	Alt	Azi	Twi	Lever
1	5793	5728785	28958	24270	958	0	390	1030	0	0
2	5794	5728825	28958	24270	958	0	390	1030	0	0
3	5795	5728865	28958	24270	958	0	390	1030	0	0
4	5796	5728909	28958	24270	958	0	390	1030	0	0
5	5797	5728949	28958	24270	958	0	390	1030	0	0
6	5798	5728994	28958	24270	958	0	390	1030	0	0
7	5799	5729033	28958	24270	958	0	390	1030	0	0
8	5800	5729078	28958	24270	958	0	390	1030	0	0
9	5801	5729117	28958	24270	958	0	390	1030	0	0
10	5802	5729161	28958	24270	958	0	390	1030	0	0
11	5803	5729202	28958	24270	958	0	390	1030	0	0
12	5804	5729245	28958	24270	958	0	390	1030	0	0
13	5805	5729285	28958	24270	958	0	390	1030	0	0
14	5806	5729330	28958	24270	958	0	390	1030	0	0
15	5807	5729370	28958	24270	958	0	390	1030	0	0
16	5808	5729413	28958	24270	958	0	390	1030	0	0
17	5809	5729454	28958	24270	958	0	390	1030	0	0
18	5810	5729497	28958	24270	958	0	390	1030	0	0
19	5811	5729537	28958	24270	958	0	390	1030	0	0
20	5812	5729581	28958	24270	958	0	390	1030	0	0
21	5813	5729621	28958	24270	958	0	390	1030	0	0
22	5814	5729665	28958	24270	958	0	390	1030	0	0
23	5815	5729705	28958	24270	958	0	390	1030	0	0
24	5816	5729749	28958	24270	958	0	390	1030	0	0
25	5817	5729789	28958	24270	958	0	390	1030	0	0
26	5818	5729833	28958	24270	958	0	390	1030	0	0
27	5819	5729873	28958	24270	958	0	390	1030	0	0
28	5820	5729913	28958	24270	958	0	390	1030	0	0
29	5821	5729957	28958	24270	958	0	390	1030	0	0
30	5822	5729997	28958	24270	958	0	390	1030	0	0
31	5823	5730041	28925	24245	958	0	340	1070	0	0
32	5824	5730046	28918	24241	918	0	340	1070	0	0
33	5825	5730051	28912	24239	918	0	350	1070	0	0
34	5826	5730056	28907	24239	906	0	350	1070	0	0
35	5827	5730061	28903	24239	898	0	350	1070	0	0
36	5828	5730066	28900	24239	886	0	350	1070	0	0
