Temps de latence : 2438 ms

N°Pt	SN	T	X	Y	Z	P	Alt	Azi	Twi	Lever
1	11204	5760013	33309	24137	922	0	490	980	0	0
2	11205	5760097	33309	24137	922	0	490	980	0	0
3	11206	5760237	33309	24137	922	0	490	980	0	0
4	11207	5760390	33309	24137	922	0	490	980	0	0
5	11208	5760429	33309	24137	922	0	490	980	0	0
6	11209	5760473	33309	24137	922	0	490	980	0	0
7	11210	5760513	34155	24641	942	0	640	640	0	0
8	11211	5760518	34155	24641	1002	0	640	640	0	0
9	11212	5760523	34155	24641	1002	0	640	640	0	0
10	11213	5760528	34149	24641	990	0	640	640	0	0
11	11214	5760533	34143	24643	990	0	640	640	0	0
12	11215	5760538	34137	24648	982	0	640	640	0	0
13	11216	5760543	34131	24654	982	0	640	640	0	0
14	11217	5760548	34125	24662	982	0	640	640	0	0
15	11218	5760553	34119	24671	982	0	640	640	0	0
16	11219	5760558	34113	24688	982	0	640	640	0	0
17	11220	5760563	34108	24698	982	0	640	640	0	0
18	11221	5760568	34102	24708	982	0	640	640	0	0
19	11222	5760573	34096	24717	982	0	640	640	0	0
20	11223	5760578	34088	24725	970	0	640	640	0	0
21	11224	5760583	34080	24732	970	0	630	650	0	0
22	11225	5760588	34072	24741	970	0	630	650	0	0
23	11226	5760593	34065	24749	962	0	630	650	0	0
24	11227	5760598	34056	24756	962	0	630	670	0	0
25	11228	5760603	34047	24764	950	0	620	680	0	0
26	11229	5760608	34039	24767	942	0	620	680	0	0
27	11230	5760613	34032	24767	930	0	620	680	0	0
28	11231	5760618	34025	24767	930	0	620	680	0	0
29	11232	5760623	34018	24767	922	0	610	690	0	0
30	11233	5760628	34011	24767	922	0	610	690	0	0
31	11234	5760633	34006	24767	910	0	610	690	0	0
32	11235	5760638	34002	24767	910	0	600	700	0	0
33	11236	5760643	34001	24767	902	0	610	720	0	0
34	11237	5760648	34000	24767	902	0	610	720	0	0
35	11238	5760653	33994	24767	890	0	610	720	0	0
36	11239	5760658	33983	24767	882	0	610	720	0	0
37	11240	5760663	33973	24767	870	0	600	720	0	0
38	11241	5760668	33963	24767	870	0	600	720	0	0
39	11242	5760673	33955	24769	862	0	600	720	0	0
40	11243	5760678	33941	24776	850	0	600	720	0	0
41	11244	5760683	33934	24780	842	0	600	720	0	0
42	11245	5760688	33927	24783	842	0	600	720	0	0
43	11246	5760693	33921	24786	830	0	600	720	0	0
44	11247	5760698	33916	24789	822	0	600	720	0	0
45	11248	5760703	33911	24791	822	0	600	720	0	0
46	11249	5760708	33906	24794	814	0	600	720	0	0
47	11250	5760713	33898	24796	802	0	600	720	0	0
48	11251	5760718	33894	24799	794	0	600	720	0	0
49	11252	5760723	33890	24802	782	0	600	720	0	0
50	11253	5760728	33884	24805	762	0	600	720	0	0
51	11254	5760733	33881	24808	754	0	610	720	0	0
52	11255	5760738	33879	24810	734	0	610	720	0	0
53	11256	5760743	33876	24815	714	0	610	720	0	0
54	11257	5760748	33875	24818	694	0	610	720	0	0
55	11258	5760753	33874	24823	673	0	610	720	0	0
56	11259	5760758	33872	24829	653	0	620	710	0	0
57	11260	5760763	33872	24834	621	0	620	710	0	0
58	11261	5760768	33869	24837	605	0	620	710	0	0
59	11262	5760773	33865	24837	585	0	620	710	0	0
60	11263	5760778	33859	24837	565	0	620	710	0	0
61	11264	5760783	33850	24834	553	0	620	710	0	0
62	11265	5760788	33838	24814	533	0	620	710	0	0
63	11266	5760793	33831	24787	513	0	620	710	0	0
64	11267	5760798	33816	24754	505	0	630	700	0	0
65	11268	5760803	33804	24718	485	0	630	700	0	0
66	11269	5760808	33792	24680	473	0	630	700	0	0
67	11270	5760813	33773	24642	465	0	630	700	0	0
68	11271	5760818	33760	24606	445	0	630	700	0	0
69	11272	5760823	33746	24571	433	0	620	680	0	0
70	11273	5760828	33727	24540	425	0	620	680	0	0
71	11274	5760833	33715	24521	425	0	630	670	0	0
72	11275	5760838	33704	24503	413	0	630	670	0	0
73	11276	5760843	33693	24486	405	0	630	670	0	0
74	11277	5760848	33684	24470	405	0	630	670	0	0
75	11278	5760853	33675	24470	397	0	630	670	0	0
76	11279	5760858	33667	24447	385	0	630	670	0	0
77	11280	5760863	33660	24424	385	0	630	670	0	0
78	11281	5760868	33654	24409	385	0	640	660	0	0
79	11282	5760873	33645	24394	377	0	640	660	0	0
80	11283	5760878	33641	24379	377	0	640	680	0	0
81	11284	5760883	33639	24365	365	0	640	680	0	0
82	11285	5760888	33637	24349	365	0	650	700	0	0
83	11286	5760893	33636	24333	357	0	650	720	0	0
84	11287	5760898	33636	24317	357	0	650	750	0	0
85	11288	5760903	33636	24302	357	0	650	770	0	0
86	11289	5760908	33636	24288	345	0	660	810	0	0
87	11290	5760913	33636	24288	345	0	660	830	0	0
88	11291	5760918	33636	24288	345	0	660	860	0	0
89	11292	5760923	33636	24287	345	0	670	880	0	0
90	11293	5760928	33636	24284	345	0	670	900	0	0
91	11294	5760933	33642	24281	345	0	670	900	0	0
92	11295	5760938	33654	24278	345	0	670	920	0	0
93	11296	5760943	33669	24270	345	0	670	950	0	0
94	11297	5760948	33686	24263	345	0	670	970	0	0
95	11298	5760953	33688	24258	345	0	670	990	0	0
96	11299	5760958	33707	24253	345	0	670	990	0	0
97	11300	5760963	33729	24249	345	0	670	1020	0	0
98	11301	5760968	33753	24244	336	0	670	1020	0	0
99	11302	5760973	33776	24243	336	0	670	1020	0	0
100	11303	5760978	33776	24243	336	0	670	1020	0	0
101	11304	5760983	33797	24242	336	0	680	1020	0	0
102	11305	5760988	33797	24241	336	0	680	1020	0	0
103	11306	5760993	33801	24240	336	0	680	1020	0	0
104	11307	5760998	33806	24238	324	0	680	1020	0	0
105	11308	5761003	33810	24234	324	0	680	1020	0	0
106	11309	5761008	33820	24230	324	0	680	1020	0	0
107	11310	5761013	33831	24226	324	0	680	1020	0	0
108	11311	5761018	33839	24219	324	0	690	1000	0	0
109	11312	5761023	33847	24215	316	0	690	1000	0	0
110	11313	5761028	33855	24208	304	0	690	1000	0	0
111	11314	5761033	33864	24198	296	0	690	1000	0	0
112	11315	5761038	33868	24191	296	0	690	1000	0	0
113	11316	5761043	33871	24183	284	0	690	1000	0	0
114	11317	5761048	33874	24176	284	0	700	980	0	0
115	11318	5761053	33876	24168	276	0	700	980	0	0
116	11319	5761058	33878	24161	276	0	700	980	0	0
117	11320	5761063	33879	24154	276	0	700	980	0	0
118	11321	5761068	33881	24148	264	0	700	950	0	0
119	11322	5761073	33882	24142	264	0	700	950	0	0
120	11323	5761078	33884	24136	264	0	700	950	0	0
121	11324	5761083	33884	24130	256	0	700	950	0	0
122	11325	5761088	33885	24121	256	0	700	930	0	0
123	11326	5761093	33886	24118	256	0	700	930	0	0
124	11327	5761098	33887	24110	244	0	700	930	0	0
125	11328	5761103	33888	24104	244	0	700	930	0	0
126	11329	5761108	33889	24099	244	0	700	900	0	0
127	11330	5761113	33891	24094	236	0	700	900	0	0
128	11331	5761118	33892	24089	236	0	710	900	0	0
129	11332	5761123	33893	24085	224	0	710	900	0	0
130	11333	5761128	33894	24082	224	0	710	900	0	0
131	11334	5761133	33896	24080	216	0	710	900	0	0
132	11335	5761138	33897	24078	216	0	710	900	0	0
133	11336	5761143	33898	24077	216	0	710	900	0	0
134	11337	5761148	33900	24077	204	0	710	900	0	0
135	11338	5761153	33901	24077	204	0	710	900	0	0
136	11339	5761158	33902	24077	204	0	710	900	0	0
137	11340	5761163	33902	24077	204	0	710	900	0	0
138	11341	5761168	33903	24077	204	0	710	900	0	0
139	11342	5761173	33903	24077	196	0	710	900	0	0
140	11343	5761178	33903	24077	196	0	710	900	0	0
141	11344	5761183	33903	24077	196	0	710	900	0	0
142	11345	5761188	33903	24077	196	0	710	900	0	0
143	11346	5761193	33903	24077	188	0	710	900	0	0
144	11347	5761198	33903	24077	188	0	710	900	0	0
145	11348	5761203	33903	24077	188	0	710	900	0	0
146	11349	5761208	33903	24077	188	0	710	900	0	0
147	11350	5761213	33903	24077	188	0	710	900	0	0
148	11351	5761218	33903	24077	176	0	710	900	0	0
149	11352	5761223	33899	24077	176	0	710	900	0	0
150	11353	5761228	33896	24077	176	0	710	900	0	0
151	11354	5761233	33893	24077	176	0	710	900	0	0
152	11355	5761238	33888	24077	168	0	710	900	0	0
153	11356	5761243	33884	24076	168	0	710	900	0	0
154	11357	5761248	33881	24073	156	0	710	900	0	0
155	11358	5761253	33878	24070	156	0	710	900	0	0
156	11359	5761258	33875	24067	156	0	710	900	0	0
157	11360	5761263	33872	24064	148	0	710	900	0	0
158	11361	5761268	33869	24061	148	0	710	900	0	0
159	11362	5761273	33865	24057	136	0	710	900	0	0
160	11363	5761278	33864	24054	136	0	710	900	0	0
161	11364	5761283	33862	24050	136	0	710	900	0	0
162	11365	5761288	33860	24047	128	0	710	900	0	0
163	11366	5761293	33858	24044	128	0	710	900	0	0
164	11367	5761298	33856	24041	128	0	710	900	0	0
165	11368	5761303	33854	24039	128	0	710	900	0	0
166	11369	5761308	33852	24036	128	0	710	870	0	0
167	11370	5761313	33851	24034	128	0	710	870	0	0
168	11371	5761318	33849	24032	128	0	710	870	0	0
169	11372	5761323	33848	24030	128	0	710	870	0	0
170	11373	5761328	33846	24029	128	0	710	870	0	0
171	11374	5761333	33844	24027	128	0	710	870	0	0
172	11375	5761338	33842	24026	128	0	710	870	0	0
173	11376	5761343	33840	24024	128	0	710	840	0	0
174	11377	5761348	33836	24022	116	0	710	840	0	0
175	11378	5761353	33833	24020	116	0	710	840	0	0
176	11379	5761358	33828	24018	116	0	710	840	0	0
177	11380	5761363	33825	24016	116	0	710	840	0	0
178	11381	5761368	33821	24014	116	0	710	840	0	0
179	11382	5761373	33817	24012	108	0	710	840	0	0
180	11383	5761378	33809	24010	108	0	710	840	0	0
181	11384	5761383	33806	24008	108	0	710	840	0	0
182	11385	5761388	33797	24005	108	0	710	840	0	0
183	11386	5761393	33788	24002	108	0	710	840	0	0
184	11387	5761398	33784	23998	108	0	710	840	0	0
185	11388	5761403	33780	23995	108	0	710	840	0	0
186	11389	5761408	33768	23992	108	0	710	810	0	0
187	11390	5761413	33756	23989	108	0	710	810	0	0
188	11391	5761418	33746	23986	116	0	710	810	0	0
189	11392	5761423	33736	23984	116	0	710	810	0	0
190	11393	5761428	33726	23982	116	0	710	810	0	0
191	11394	5761433	33716	23982	128	0	710	810	0	0
192	11395	5761438	33711	23982	128	0	710	810	0	0
193	11396	5761443	33707	23982	136	0	710	810	0	0
194	11397	5761448	33703	23982	136	0	710	810	0	0
195	11398	5761453	33695	23982	136	0	710	810	0	0
196	11399	5761458	33689	23982	136	0	710	810	0	0
197	11400	5761463	33683	23982	136	0	710	810	0	0
198	11401	5761468	33678	23984	148	0	710	810	0	0
199	11402	5761473	33674	23991	148	0	710	810	0	0
200	11403	5761478	33670	23997	148	0	710	810	0	0
201	11404	5761483	33668	24003	148	0	710	810	0	0
202	11405	5761488	33667	24009	148	0	710	810	0	0
203	11406	5761493	33666	24014	148	0	710	840	0	0
204	11407	5761498	33665	24018	148	0	710	840	0	0
205	11408	5761503	33665	24023	136	0	710	840	0	0
206	11409	5761508	33664	24025	136	0	710	840	0	0
207	11410	5761513	33663	24028	136	0	710	840	0	0
208	11411	5761518	33662	24030	136	0	710	840	0	0
209	11412	5761523	33661	24031	128	0	710	840	0	0
210	11413	5761528	33660	24031	128	0	710	840	0	0
211	11414	5761533	33659	24031	116	0	710	840	0	0
212	11415	5761538	33657	24032	116	0	710	840	0	0
213	11416	5761543	33656	24032	116	0	710	840	0	0
214	11417	5761548	33654	24033	116	0	710	840	0	0
215	11418	5761553	33652	24034	108	0	710	840	0	0
216	11419	5761558	33651	24036	108	0	710	840	0	0
217	11420	5761563	33649	24039	108	0	710	840	0	0
218	11421	5761568	33647	24041	108	0	710	840	0	0
219	11422	5761573	33646	24045	108	0	710	840	0	0
