Temps de latence : 2719 ms

N°Pt	SN	T	X	Y	Z	P	Alt	Azi	Twi	Lever
1	25140	5654125	18365	23849	493	0	490	900	0	0
2	25141	5654130	18366	23849	493	0	490	900	0	0
3	25142	5654135	18367	23849	493	0	490	900	0	0
4	25143	5654140	18368	23849	493	0	490	900	0	0
5	25144	5654145	18369	23849	493	0	490	900	0	0
6	25145	5654150	18369	23849	493	0	490	900	0	0
7	25146	5654155	18369	23849	485	0	490	900	0	0
8	25147	5654160	18369	23849	485	0	490	900	0	0
9	25148	5654165	18369	23849	485	0	490	900	0	0
10	25149	5654170	18369	23852	485	0	490	900	0	0
11	25150	5654175	18369	23855	473	0	490	900	0	0
12	25151	5654180	18369	23858	473	0	490	900	0	0
13	25152	5654185	18369	23861	465	0	490	900	0	0
14	25153	5654190	18369	23864	465	0	500	900	0	0
15	25154	5654195	18369	23867	465	0	500	900	0	0
16	25155	5654200	18369	23870	453	0	500	900	0	0
17	25156	5654205	18369	23873	453	0	500	900	0	0
18	25157	5654210	18369	23875	453	0	500	900	0	0
19	25158	5654215	18369	23878	445	0	500	900	0	0
20	25159	5654220	18369	23881	445	0	500	900	0	0
21	25160	5654225	18369	23883	445	0	500	900	0	0
22	25161	5654230	18369	23885	433	0	510	900	0	0
23	25162	5654235	18369	23887	433	0	510	900	0	0
24	25163	5654240	18369	23890	425	0	510	900	0	0
25	25164	5654245	18369	23891	425	0	510	900	0	0
26	25165	5654250	18369	23892	425	0	510	900	0	0
27	25166	5654255	18369	23893	413	0	510	900	0	0
28	25167	5654260	18369	23893	413	0	510	900	0	0
29	25168	5654265	18368	23894	401	0	510	900	0	0
30	25169	5654270	18367	23895	393	0	510	900	0	0
31	25170	5654275	18366	23895	393	0	510	900	0	0
32	25171	5654280	18364	23897	381	0	520	900	0	0
33	25172	5654285	18363	23897	373	0	520	900	0	0
34	25173	5654290	18361	23898	373	0	520	900	0	0
35	25174	5654295	18359	23899	361	0	520	900	0	0
36	25175	5654300	18357	23900	353	0	520	900	0	0
37	25176	5654305	18355	23900	353	0	520	900	0	0
38	25177	5654310	18352	23901	341	0	520	900	0	0
39	25178	5654315	18349	23901	332	0	520	900	0	0
40	25179	5654320	18346	23902	332	0	520	900	0	0
41	25180	5654325	18344	23902	320	0	530	900	0	0
42	25181	5654330	18341	23903	320	0	530	900	0	0
43	25182	5654335	18339	23903	312	0	530	900	0	0
44	25183	5654340	18336	23904	312	0	530	900	0	0
45	25184	5654345	18333	23904	312	0	530	900	0	0
46	25185	5654350	18331	23905	300	0	530	900	0	0
47	25186	5654355	18328	23905	300	0	530	900	0	0
48	25187	5654360	18326	23906	300	0	530	900	0	0
49	25188	5654365	18322	23906	292	0	530	900	0	0
50	25189	5654370	18320	23906	292	0	540	900	0	0
51	25190	5654375	18319	23906	292	0	540	900	0	0
52	25191	5654380	18317	23906	292	0	540	900	0	0
53	25192	5654385	18315	23906	292	0	540	900	0	0
54	25193	5654390	18314	23906	292	0	540	900	0	0
55	25194	5654395	18313	23906	292	0	540	900	0	0
56	25195	5654400	18312	23906	292	0	540	900	0	0
57	25196	5654405	18310	23906	292	0	540	900	0	0
58	25197	5654410	18309	23906	292	0	540	900	0	0
59	25198	5654415	18308	23906	292	0	540	900	0	0
60	25199	5654420	18306	23906	292	0	540	900	0	0
61	25200	5654425	18305	23906	292	0	540	900	0	0
62	25201	5654430	18304	23906	280	0	540	900	0	0
63	25202	5654435	18302	23906	280	0	540	900	0	0
64	25203	5654440	18300	23906	280	0	540	900	0	0
65	25204	5654445	18298	23906	280	0	540	900	0	0
66	25205	5654450	18296	23906	272	0	540	900	0	0
67	25206	5654455	18295	23906	272	0	540	900	0	0
68	25207	5654460	18292	23904	272	0	540	900	0	0
69	25208	5654465	18290	23901	260	0	540	900	0	0
70	25209	5654470	18288	23899	260	0	540	900	0	0
71	25210	5654475	18285	23897	260	0	540	900	0	0
72	25211	5654480	18281	23893	252	0	540	900	0	0
73	25212	5654485	18279	23891	252	0	540	900	0	0
74	25213	5654490	18277	23888	252	0	550	900	0	0
75	25214	5654495	18275	23886	240	0	550	900	0	0
76	25215	5654500	18273	23884	240	0	550	900	0	0
77	25216	5654505	18272	23883	240	0	550	900	0	0
78	25217	5654510	18270	23882	232	0	550	900	0	0
79	25218	5654515	18269	23882	232	0	550	900	0	0
80	25219	5654520	18267	23881	232	0	550	900	0	0
81	25220	5654525	18266	23881	232	0	550	900	0	0
82	25221	5654530	18266	23881	232	0	550	900	0	0
83	25222	5654535	18266	23881	232	0	550	900	0	0
84	25223	5654540	18265	23881	232	0	550	900	0	0
85	25224	5654545	18265	23881	232	0	550	900	0	0
86	25225	5654550	18265	23881	232	0	550	900	0	0
87	25226	5654555	18265	23881	240	0	550	900	0	0
88	25227	5654560	18265	23883	240	0	550	900	0	0
89	25228	5654565	18265	23889	240	0	550	900	0	0
90	25229	5654570	18265	23894	240	0	550	900	0	0
91	25230	5654575	18265	23900	240	0	550	900	0	0
92	25231	5654580	18265	23906	240	0	550	900	0	0
93	25232	5654585	18265	23912	240	0	550	900	0	0
94	25233	5654590	18265	23919	240	0	550	900	0	0
95	25234	5654595	18265	23925	240	0	550	900	0	0
96	25235	5654600	18265	23932	240	0	550	900	0	0
97	25236	5654605	18265	23938	232	0	550	900	0	0
98	25237	5654610	18265	23945	232	0	550	900	0	0
99	25238	5654615	18265	23952	232	0	550	900	0	0
100	25239	5654620	18265	23959	232	0	550	900	0	0
101	25240	5654625	18265	23970	232	0	550	900	0	0
102	25241	5654630	18265	23973	232	0	550	900	0	0
103	25242	5654635	18265	23980	232	0	550	900	0	0
104	25243	5654640	18265	23987	232	0	550	900	0	0
105	25244	5654645	18265	23993	232	0	550	900	0	0
106	25245	5654650	18265	23999	232	0	550	900	0	0
107	25246	5654655	18265	24004	232	0	560	900	0	0
108	25247	5654660	18265	24009	232	0	560	900	0	0
109	25248	5654665	18265	24013	232	0	560	900	0	0
110	25249	5654670	18265	24016	220	0	560	900	0	0
111	25250	5654675	18265	24019	220	0	560	900	0	0
112	25251	5654680	18265	24020	220	0	560	900	0	0
113	25252	5654685	18265	24021	212	0	560	900	0	0
114	25253	5654690	18265	24021	212	0	560	900	0	0
115	25254	5654695	18265	24021	200	0	560	900	0	0
116	25255	5654700	18265	24021	200	0	560	900	0	0
117	25256	5654705	18265	24021	188	0	560	900	0	0
118	25257	5654710	18265	24021	180	0	570	900	0	0
119	25258	5654715	18265	24021	180	0	570	900	0	0
120	25259	5654720	18265	24021	168	0	570	900	0	0
121	25260	5654725	18265	24021	168	0	570	900	0	0
122	25261	5654730	18265	24021	168	0	570	900	0	0
123	25262	5654735	18265	24021	168	0	570	900	0	0
124	25263	5654740	18265	24021	168	0	570	900	0	0
125	25264	5654745	18265	24021	168	0	570	900	0	0
126	25265	5654750	18265	24021	168	0	570	900	0	0
127	25266	5654755	18265	24021	180	0	570	900	0	0
128	25267	5654760	18265	24021	180	0	570	900	0	0
129	25268	5654765	18265	24026	188	0	570	900	0	0
130	25269	5654770	18265	24030	188	0	570	900	0	0
131	25270	5654775	18265	24035	200	0	570	900	0	0
132	25271	5654780	18265	24040	212	0	570	900	0	0
133	25272	5654785	18265	24045	212	0	570	900	0	0
134	25273	5654790	18265	24046	220	0	570	900	0	0
135	25274	5654795	18265	24050	220	0	570	900	0	0
136	25275	5654800	18265	24054	220	0	570	900	0	0
137	25276	5654805	18265	24057	220	0	570	900	0	0
138	25277	5654810	18265	24059	232	0	570	900	0	0
139	25278	5654815	18265	24061	232	0	570	900	0	0
140	25279	5654820	18265	24062	232	0	570	900	0	0
141	25280	5654825	18265	24062	220	0	570	900	0	0
142	25281	5654830	18265	24062	220	0	570	900	0	0
143	25282	5654835	18265	24062	220	0	570	900	0	0
144	25283	5654840	18265	24062	220	0	570	900	0	0
145	25284	5654845	18265	24062	212	0	570	900	0	0
146	25285	5654850	18265	24062	212	0	570	900	0	0
147	25286	5654855	18265	24062	212	0	570	900	0	0
148	25287	5654860	18265	24062	212	0	570	900	0	0
149	25288	5654865	18265	24062	212	0	570	900	0	0
150	25289	5654870	18265	24060	212	0	560	900	0	0
151	25290	5654875	18265	24058	212	0	560	900	0	0
152	25291	5654880	18265	24057	212	0	560	900	0	0
153	25292	5654885	18265	24057	212	0	560	900	0	0
154	25293	5654890	18265	24057	212	0	560	900	0	0
155	25294	5654895	18265	24057	212	0	560	900	0	0
156	25295	5654900	18265	24057	220	0	560	900	0	0
157	25296	5654905	18265	24057	220	0	560	900	0	0
158	25297	5654910	18265	24057	220	0	560	900	0	0
159	25298	5654915	18265	24057	220	0	560	900	0	0
160	25299	5654920	18265	24057	232	0	560	900	0	0
161	25300	5654925	18265	24057	232	0	560	900	0	0
162	25301	5654930	18265	24057	232	0	560	900	0	0
163	25302	5654935	18265	24057	232	0	560	900	0	0
164	25303	5654940	18265	24057	232	0	550	900	0	0
165	25304	5654945	18265	24058	232	0	550	900	0	0
166	25305	5654950	18265	24060	232	0	550	900	0	0
167	25306	5654955	18265	24060	232	0	550	900	0	0
168	25307	5654960	18265	24061	232	0	550	900	0	0
169	25308	5654965	18265	24061	232	0	550	900	0	0
170	25309	5654970	18265	24062	232	0	550	900	0	0
171	25310	5654975	18265	24062	232	0	550	900	0	0
172	25311	5654980	18265	24062	232	0	550	900	0	0
173	25312	5654985	18265	24062	232	0	550	900	0	0
174	25313	5654990	18265	24062	232	0	550	900	0	0
175	25314	5654995	18265	24062	232	0	550	900	0	0
176	25315	5655000	18265	24062	232	0	550	900	0	0
177	25316	5655005	18265	24062	232	0	550	900	0	0
178	25317	5655010	18265	24062	220	0	550	900	0	0
179	25318	5655015	18265	24062	220	0	550	900	0	0
180	25319	5655020	18265	24062	220	0	550	900	0	0
181	25320	5655025	18265	24062	220	0	550	900	0	0
182	25321	5655030	18265	24062	212	0	550	900	0	0
183	25322	5655035	18264	24062	212	0	560	900	0	0
184	25323	5655040	18264	24062	200	0	560	900	0	0
185	25324	5655045	18263	24062	200	0	560	900	0	0
186	25325	5655050	18263	24062	188	0	560	900	0	0
187	25326	5655055	18263	24062	188	0	560	900	0	0
188	25327	5655060	18262	24062	188	0	560	900	0	0
189	25328	5655065	18262	24062	180	0	570	900	0	0
190	25329	5655070	18261	24062	180	0	570	900	0	0
191	25330	5655075	18261	24062	180	0	570	900	0	0
192	25331	5655080	18261	24062	168	0	570	900	0	0
193	25332	5655085	18261	24062	168	0	580	900	0	0
194	25333	5655090	18261	24062	168	0	580	900	0	0
195	25334	5655095	18261	24062	160	0	580	900	0	0
196	25335	5655100	18261	24062	160	0	590	900	0	0
197	25336	5655105	18261	24061	160	0	590	900	0	0
198	25337	5655110	18261	24059	148	0	600	900	0	0
199	25338	5655115	18261	24057	148	0	600	900	0	0
200	25339	5655120	18261	24055	140	0	600	900	0	0
201	25340	5655125	18261	24052	140	0	600	900	0	0
202	25341	5655130	18261	24050	128	0	610	880	0	0
203	25342	5655135	18261	24047	128	0	610	880	0	0
204	25343	5655140	18261	24044	120	0	610	880	0	0
205	25344	5655145	18261	24041	120	0	610	880	0	0
206	25345	5655150	18261	24039	108	0	610	880	0	0
207	25346	5655155	18261	24037	108	0	610	880	0	0
208	25347	5655160	18261	24035	108	0	610	880	0	0
209	25348	5655165	18260	24034	100	0	620	880	0	0
210	25349	5655170	18260	24032	100	0	620	880	0	0
211	25350	5655175	18260	24031	100	0	620	880	0	0
212	25351	5655180	18259	24030	88	0	620	860	0	0
213	25352	5655185	18259	24030	88	0	620	860	0	0
214	25353	5655190	18259	24030	88	0	620	860	0	0
215	25354	5655195	18258	24030	88	0	620	860	0	0
216	25355	5655200	18258	24030	88	0	620	860	0	0
217	25356	5655205	18258	24030	88	0	620	860	0	0
218	25357	5655210	18258	24030	88	0	620	860	0	0
219	25358	5655215	18258	24030	88	0	620	860	0	0
220	25359	5655220	18257	24030	88	0	620	860	0	0
221	25360	5655225	18257	24030	88	0	620	860	0	0
222	25361	5655230	18256	24030	88	0	620	860	0	0
223	25362	5655235	18256	24030	100	0	620	860	0	0
224	25363	5655240	18256	24030	100	0	620	860	0	0
225	25364	5655245	18256	24030	100	0	620	860	0	0
226	25365	5655250	18256	24030	100	0	620	860	0	0
227	25366	5655255	18255	24034	100	0	620	860	0	0
228	25367	5655260	18255	24041	108	0	620	860	0	0
229	25368	5655265	18254	24043	108	0	620	860	0	0
230	25369	5655270	18254	24048	108	0	620	860	0	0
231	25370	5655275	18253	24053	108	0	620	860	0	0
232	25371	5655279	18253	24058	108	0	620	860	0	0
233	25372	5655284	18253	24063	100	0	620	860	0	0
234	25373	5655289	18252	24068	100	0	620	860	0	0
235	25374	5655294	18252	24073	100	0	620	860	0	0
236	25375	5655299	18252	24078	100	0	620	860	0	0
237	25376	5655304	18252	24086	88	0	620	860	0	0
238	25377	5655309	18252	24088	88	0	620	860	0	0
239	25378	5655314	18252	24093	88	0	620	860	0	0
240	25379	5655319	18252	24097	88	0	620	860	0	0
241	25380	5655324	18252	24101	88	0	620	860	0	0
242	25381	5655329	18252	24105	88	0	620	860	0	0
243	25382	5655334	18252	24111	80	0	620	860	0	0
244	25383	5655339	18252	24115	80	0	620	860	0	0
245	25384	5655344	18252	24118	80	0	620	860	0	0
246	25385	5655349	18252	24121	80	0	620	860	0	0
247	25386	5655354	18252	24124	80	0	620	860	0	0
248	25387	5655359	18252	24127	80	0	620	860	0	0
249	25388	5655364	18252	24130	68	0	620	860	0	0
250	25389	5655369	18252	24132	68	0	620	860	0	0
251	25390	5655374	18252	24134	68	0	620	860	0	0
252	25391	5655379	18252	24136	68	0	620	860	0	0
253	25392	5655384	18252	24137	68	0	620	860	0	0
254	25393	5655389	18252	24138	68	0	620	860	0	0
255	25394	5655394	18252	24139	68	0	620	860	0	0
256	25395	5655399	18252	24140	68	0	620	860	0	0
257	25396	5655404	18252	24140	68	0	620	860	0	0
258	25397	5655409	18252	24140	68	0	620	860	0	0
259	25398	5655414	18252	24141	68	0	620	860	0	0
260	25399	5655419	18252	24141	68	0	620	860	0	0
261	25400	5655424	18252	24142	80	0	620	860	0	0
262	25401	5655429	18252	24143	80	0	620	840	0	0
263	25402	5655434	18252	24145	80	0	620	840	0	0
264	25403	5655439	18252	24147	80	0	620	840	0	0
265	25404	5655444	18252	24150	80	0	620	840	0	0
266	25405	5655449	18252	24156	88	0	620	840	0	0
267	25406	5655454	18250	24158	88	0	620	840	0	0
268	25407	5655459	18249	24166	100	0	620	840	0	0
269	25408	5655464	18247	24172	100	0	620	840	0	0
270	25409	5655469	18246	24175	100	0	620	840	0	0
271	25410	5655474	18244	24179	100	0	620	840	0	0
272	25411	5655479	18243	24190	100	0	620	860	0	0
273	25412	5655484	18242	24200	100	0	620	860	0	0
274	25413	5655489	18241	24209	100	0	620	860	0	0
275	25414	5655494	18240	24217	100	0	620	860	0	0
276	25415	5655499	18240	24220	100	0	620	860	0	0
277	25416	5655504	18240	24224	100	0	620	860	0	0
278	25417	5655509	18240	24231	100	0	620	860	0	0
279	25418	5655514	18240	24237	100	0	620	860	0	0
280	25419	5655519	18240	24243	108	0	620	860	0	0
281	25420	5655524	18240	24249	108	0	620	880	0	0
282	25421	5655529	18240	24254	108	0	620	880	0	0
283	25422	5655534	18240	24258	108	0	620	880	0	0
284	25423	5655539	18240	24261	108	0	620	880	0	0
285	25424	5655544	18240	24264	108	0	620	880	0	0
286	25425	5655549	18240	24267	108	0	620	880	0	0
287	25426	5655554	18240	24269	108	0	620	880	0	0
288	25427	5655559	18240	24271	108	0	620	880	0	0
289	25428	5655564	18240	24273	108	0	620	880	0	0
290	25429	5655569	18240	24275	108	0	620	880	0	0
291	25430	5655574	18240	24276	108	0	620	880	0	0
292	25431	5655579	18240	24278	108	0	620	880	0	0
293	25432	5655584	18240	24279	108	0	620	880	0	0
294	25433	5655589	18240	24280	108	0	620	880	0	0
295	25434	5655594	18240	24282	108	0	620	880	0	0
296	25435	5655599	18240	24284	108	0	620	880	0	0
297	25436	5655604	18240	24286	108	0	620	880	0	0
298	25437	5655609	18240	24289	108	0	620	880	0	0
299	25438	5655614	18240	24292	108	0	620	880	0	0
300	25439	5655619	18240	24296	120	0	620	880	0	0
301	25440	5655624	18240	24300	120	0	620	880	0	0
302	25441	5655629	18240	24305	120	0	620	880	0	0
303	25442	5655634	18240	24309	120	0	620	880	0	0
304	25443	5655639	18240	24312	128	0	620	880	0	0
305	25444	5655644	18240	24317	128	0	620	880	0	0
306	25445	5655649	18240	24325	120	0	620	880	0	0
307	25446	5655654	18240	24330	120	0	620	880	0	0
308	25447	5655659	18240	24335	120	0	610	880	0	0
309	25448	5655664	18240	24343	120	0	610	880	0	0
310	25449	5655669	18240	24345	108	0	620	880	0	0
311	25450	5655674	18240	24349	108	0	620	880	0	0
312	25451	5655679	18240	24353	108	0	620	860	0	0
313	25452	5655684	18240	24357	108	0	620	860	0	0
314	25453	5655689	18241	24360	108	0	620	860	0	0
315	25454	5655694	18242	24363	108	0	620	840	0	0
316	25455	5655699	18243	24367	108	0	620	840	0	0
317	25456	5655704	18244	24368	100	0	620	830	0	0
318	25457	5655709	18245	24370	100	0	620	830	0	0
319	25458	5655714	18246	24371	100	0	620	830	0	0
320	25459	5655719	18247	24371	100	0	620	810	0	0
321	25460	5655724	18248	24372	88	0	620	810	0	0
322	25461	5655729	18248	24372	88	0	620	790	0	0
323	25462	5655734	18249	24372	88	0	620	790	0	0
324	25463	5655739	18250	24372	88	0	620	790	0	0
325	25464	5655744	18250	24372	88	0	620	790	0	0
326	25465	5655749	18250	24372	88	0	610	770	0	0
327	25466	5655754	18251	24372	88	0	610	770	0	0
328	25467	5655759	18251	24372	88	0	610	770	0	0
329	25468	5655764	18251	24372	88	0	610	770	0	0
330	25469	5655769	18252	24372	88	0	610	770	0	0
331	25470	5655774	18252	24372	88	0	610	770	0	0
332	25471	5655779	18252	24373	88	0	610	770	0	0
333	25472	5655784	18252	24374	100	0	610	770	0	0
334	25473	5655789	18252	24375	100	0	610	770	0	0
335	25474	5655794	18252	24376	100	0	610	770	0	0
336	25475	5655799	18253	24377	108	0	610	770	0	0
337	25476	5655804	18254	24378	108	0	610	770	0	0
338	25477	5655809	18254	24379	108	0	610	770	0	0
339	25478	5655814	18255	24380	108	0	610	770	0	0
340	25479	5655819	18256	24380	108	0	610	770	0	0
341	25480	5655824	18257	24381	108	0	610	770	0	0
342	25481	5655829	18257	24381	108	0	610	770	0	0
343	25482	5655834	18258	24381	108	0	610	770	0	0
344	25483	5655839	18259	24382	108	0	620	760	0	0
345	25484	5655844	18260	24382	100	0	620	760	0	0
346	25485	5655849	18260	24383	100	0	620	760	0	0
347	25486	5655854	18261	24383	100	0	620	760	0	0
348	25487	5655859	18261	24383	100	0	620	760	0	0
349	25488	5655864	18261	24384	100	0	620	760	0	0
350	25489	5655869	18261	24384	100	0	620	760	0	0
351	25490	5655874	18261	24384	100	0	620	760	0	0
352	25491	5655879	18261	24384	100	0	620	760	0	0
353	25492	5655884	18261	24384	108	0	620	760	0	0
354	25493	5655889	18261	24384	108	0	620	760	0	0
355	25494	5655894	18262	24384	108	0	620	760	0	0
356	25495	5655899	18262	24384	108	0	620	760	0	0
357	25496	5655904	18262	24384	108	0	620	760	0	0
358	25497	5655909	18262	24384	108	0	620	760	0	0
359	25498	5655914	18262	24384	108	0	620	760	0	0
360	25499	5655919	18262	24384	100	0	620	760	0	0
361	25500	5655924	18262	24384	100	0	620	760	0	0
362	25501	5655929	18262	24384	100	0	620	760	0	0
363	25502	5655934	18262	24384	100	0	620	760	0	0
364	25503	5655939	18262	24384	88	0	620	760	0	0
365	25504	5655944	18262	24384	88	0	620	760	0	0
366	25505	5655949	18262	24384	80	0	620	760	0	0
367	25506	5655954	18262	24384	80	0	620	760	0	0
368	25507	5655959	18262	24384	80	0	620	760	0	0
369	25508	5655964	18262	24384	68	0	620	760	0	0
370	25509	5655969	18262	24384	68	0	620	760	0	0
371	25510	5655974	18262	24384	68	0	620	760	0	0
372	25511	5655979	18262	24384	68	0	620	760	0	0
373	25512	5655984	18262	24384	68	0	620	760	0	0
374	25513	5655989	18262	24382	80	0	620	760	0	0
375	25514	5655994	18262	24380	80	0	620	760	0	0
376	25515	5655999	18262	24377	80	0	620	760	0	0
377	25516	5656004	18262	24375	88	0	620	760	0	0
378	25517	5656009	18262	24373	88	0	620	760	0	0
379	25518	5656014	18262	24370	88	0	620	760	0	0
380	25519	5656019	18262	24368	100	0	620	760	0	0
381	25520	5656024	18262	24365	100	0	620	760	0	0
382	25521	5656029	18262	24362	108	0	620	760	0	0
383	25522	5656034	18262	24359	108	0	630	780	0	0
384	25523	5656039	18262	24357	108	0	630	780	0	0
385	25524	5656044	18262	24354	108	0	630	780	0	0
386	25525	5656049	18262	24351	108	0	630	780	0	0
387	25526	5656054	18262	24349	108	0	630	800	0	0
388	25527	5656059	18262	24345	108	0	630	800	0	0
389	25528	5656064	18262	24343	108	0	630	800	0	0
390	25529	5656069	18262	24340	108	0	630	820	0	0
391	25530	5656074	18262	24337	108	0	630	820	0	0
392	25531	5656079	18262	24334	108	0	620	840	0	0
393	25532	5656084	18262	24331	108	0	620	840	0	0
394	25533	5656089	18262	24329	108	0	620	840	0	0
395	25534	5656094	18262	24326	108	0	620	860	0	0
396	25535	5656099	18262	24323	108	0	620	860	0	0
397	25536	5656104	18261	24320	108	0	620	880	0	0
398	25537	5656109	18260	24319	108	0	620	880	0	0
399	25538	5656114	18260	24317	108	0	620	880	0	0
400	25539	5656119	18259	24316	108	0	620	880	0	0
401	25540	5656124	18259	24315	108	0	620	880	0	0
402	25541	5656129	18259	24315	108	0	620	880	0	0
403	25542	5656134	18259	24315	108	0	620	880	0	0
404	25543	5656139	18259	24315	108	0	620	880	0	0
405	25544	5656144	18258	24315	100	0	620	880	0	0
406	25545	5656149	18258	24315	100	0	620	880	0	0
407	25546	5656154	18258	24315	100	0	620	880	0	0
408	25547	5656159	18258	24315	100	0	620	880	0	0
409	25548	5656164	18257	24315	100	0	620	880	0	0
410	25549	5656169	18256	24315	100	0	620	880	0	0
411	25550	5656174	18255	24315	100	0	620	880	0	0
412	25551	5656179	18254	24315	100	0	620	880	0	0
413	25552	5656184	18253	24315	108	0	620	880	0	0
414	25553	5656189	18252	24313	108	0	620	880	0	0
415	25554	5656194	18251	24312	108	0	620	880	0	0
416	25555	5656199	18250	24310	108	0	620	880	0	0
417	25556	5656204	18248	24308	108	0	620	880	0	0
418	25557	5656209	18247	24307	108	0	620	880	0	0
419	25558	5656214	18246	24304	108	0	620	880	0	0
420	25559	5656219	18245	24302	108	0	620	880	0	0
421	25560	5656224	18243	24298	108	0	620	880	0	0
422	25561	5656229	18242	24295	108	0	620	880	0	0
423	25562	5656234	18241	24291	108	0	620	880	0	0
424	25563	5656239	18239	24287	108	0	620	880	0	0
425	25564	5656244	18237	24283	108	0	620	880	0	0
426	25565	5656249	18236	24279	108	0	620	880	0	0
427	25566	5656254	18234	24274	108	0	620	880	0	0
428	25567	5656259	18232	24269	108	0	620	880	0	0
429	25568	5656264	18230	24264	108	0	620	880	0	0
430	25569	5656269	18229	24260	108	0	620	880	0	0
431	25570	5656274	18227	24255	108	0	620	860	0	0
432	25571	5656279	18225	24251	108	0	620	860	0	0
433	25572	5656284	18223	24247	108	0	620	860	0	0
434	25573	5656289	18221	24244	108	0	620	860	0	0
435	25574	5656294	18219	24240	120	0	620	860	0	0
436	25575	5656299	18217	24236	120	0	620	860	0	0
