Temps de latence : 2016 ms

N°Pt	SN	T	X	Y	Z	P	Alt	Azi	Twi	Lever
1	31226	2737979	33817	23155	377	0	680	900	0	0
2	31227	2738023	33817	23155	377	0	680	900	0	0
3	31228	2738063	33528	24097	481	0	330	1280	0	0
4	31229	2738068	33528	24099	998	0	340	1280	0	0
5	31230	2738073	33528	24101	986	0	340	1280	0	0
6	31231	2738078	33528	24104	974	0	340	1280	0	0
7	31232	2738083	33528	24105	962	0	340	1280	0	0
8	31233	2738088	33529	24105	950	0	340	1280	0	0
9	31234	2738093	33533	24105	930	0	350	1280	0	0
10	31235	2738098	33538	24105	918	0	350	1280	0	0
11	31236	2738103	33541	24099	906	0	350	1280	0	0
12	31237	2738108	33546	24075	882	0	360	1280	0	0
13	31238	2738113	33552	24054	850	0	360	1280	0	0
14	31239	2738118	33558	24054	826	0	370	1270	0	0
15	31240	2738123	33573	24024	802	0	380	1270	0	0
16	31241	2738128	33590	23980	778	0	390	1270	0	0
17	31242	2738133	33608	23925	758	0	390	1260	0	0
18	31243	2738138	33624	23864	734	0	400	1260	0	0
19	31244	2738143	33629	23827	722	0	410	1250	0	0
20	31245	2738148	33629	23827	710	0	420	1240	0	0
21	31246	2738153	33649	23827	710	0	430	1230	0	0
22	31247	2738158	33679	23832	710	0	440	1230	0	0
23	31248	2738163	33711	23839	710	0	460	1210	0	0
24	31249	2738168	33749	23844	710	0	470	1210	0	0
25	31250	2738173	33795	23849	710	0	470	1200	0	0
26	31251	2738178	33846	23849	710	0	480	1190	0	0
27	31252	2738183	33898	23849	710	0	490	1180	0	0
28	31253	2738188	33951	23842	698	0	500	1170	0	0
29	31254	2738193	34009	23834	698	0	510	1170	0	0
30	31255	2738198	34073	23799	686	0	520	1160	0	0
31	31256	2738203	34116	23776	677	0	530	1170	0	0
32	31257	2738208	34156	23754	677	0	530	1160	0	0
33	31258	2738213	34192	23719	665	0	540	1170	0	0
34	31259	2738218	34224	23690	653	0	550	1160	0	0
35	31260	2738223	34253	23665	653	0	550	1160	0	0
36	31261	2738228	34279	23645	653	0	560	1160	0	0
37	31262	2738233	34302	23624	641	0	570	1160	0	0
38	31263	2738238	34324	23602	641	0	570	1160	0	0
39	31264	2738243	34345	23577	629	0	580	1170	0	0
40	31265	2738248	34366	23548	629	0	590	1170	0	0
41	31266	2738253	34366	23513	617	0	590	1170	0	0
42	31267	2738258	34398	23476	593	0	600	1160	0	0
43	31268	2738263	34429	23435	585	0	610	1170	0	0
44	31269	2738268	34429	23390	561	0	610	1170	0	0
45	31270	2738273	34457	23344	537	0	630	1160	0	0
46	31271	2738278	34457	23295	525	0	630	1160	0	0
47	31272	2738283	34457	23250	513	0	640	1160	0	0
48	31273	2738288	34457	23222	505	0	640	1160	0	0
49	31274	2738293	34457	23196	493	0	650	1150	0	0
50	31275	2738298	34457	23172	493	0	650	1150	0	0
51	31276	2738303	34459	23151	481	0	650	1130	0	0
52	31277	2738308	34463	23151	481	0	650	1130	0	0
53	31278	2738313	34475	23151	469	0	670	1110	0	0
54	31279	2738318	34486	23151	469	0	670	1110	0	0
55	31280	2738323	34503	23151	457	0	670	1090	0	0
56	31281	2738328	34518	23151	445	0	670	1090	0	0
57	31282	2738333	34531	23148	433	0	670	1070	0	0
