Temps de latence : 1985 ms

N°Pt	SN	T	X	Y	Z	P	Alt	Azi	Twi	Lever
1	32535	2749359	36725	24013	433	0	260	1240	0	0
2	32536	2749364	36720	23990	998	0	260	1230	0	0
3	32537	2749369	36718	23924	986	0	260	1230	0	0
4	32538	2749374	36718	23867	962	0	260	1220	0	0
5	32539	2749379	36718	23822	950	0	260	1210	0	0
6	32540	2749384	36720	23785	926	0	270	1200	0	0
7	32541	2749389	36733	23770	902	0	270	1200	0	0
8	32542	2749394	36738	23767	890	0	270	1190	0	0
9	32543	2749399	36761	23712	866	0	270	1170	0	0
10	32544	2749404	36791	23714	830	0	270	1160	0	0
11	32545	2749409	36826	23714	782	0	280	1140	0	0
12	32546	2749414	36864	23692	746	0	280	1140	0	0
13	32547	2749419	36902	23696	710	0	280	1120	0	0
14	32548	2749424	36941	23696	686	0	280	1110	0	0
15	32549	2749429	36978	23694	661	0	290	1080	0	0
16	32550	2749434	37013	23694	649	0	290	1070	0	0
17	32551	2749439	37044	23641	649	0	290	1060	0	0
18	32552	2749444	37074	23603	661	0	290	1040	0	0
19	32553	2749449	37103	23575	673	0	290	1030	0	0
20	32554	2749454	37132	23551	698	0	290	1020	0	0
21	32555	2749459	37160	23518	722	0	310	1010	0	0
22	32556	2749464	37190	23465	746	0	320	1010	0	0
23	32557	2749469	37220	23398	770	0	340	1010	0	0
24	32558	2749474	37252	23329	782	0	360	1000	0	0
25	32559	2749479	37286	23329	794	0	370	1010	0	0
26	32560	2749484	37320	23278	782	0	380	1000	0	0
27	32561	2749489	37354	23278	782	0	390	1000	0	0
28	32562	2749494	37389	23278	758	0	400	1000	0	0
29	32563	2749499	37424	23287	734	0	410	1000	0	0
30	32564	2749504	37458	23296	710	0	410	990	0	0
31	32565	2749509	37490	23263	673	0	420	990	0	0
32	32566	2749514	37490	23216	625	0	430	980	0	0
33	32567	2749519	37490	23177	589	0	430	980	0	0
34	32568	2749524	37487	23177	565	0	440	980	0	0
35	32569	2749529	37477	23172	529	0	450	970	0	0
36	32570	2749534	37489	23164	517	0	460	970	0	0
37	32571	2749539	37490	23156	505	0	460	960	0	0
38	32572	2749544	37513	23136	493	0	470	960	0	0
39	32573	2749549	37528	23106	493	0	480	960	0	0
40	32574	2749554	37528	23079	493	0	490	960	0	0
41	32575	2749559	37528	23051	493	0	490	950	0	0
42	32576	2749564	37528	23021	493	0	500	950	0	0
43	32577	2749569	37528	22987	493	0	510	940	0	0
44	32578	2749574	37528	22951	493	0	510	940	0	0
45	32579	2749579	37528	22913	481	0	520	930	0	0
46	32580	2749584	37528	22872	481	0	520	930	0	0
47	32581	2749589	37528	22824	469	0	530	930	0	0
48	32582	2749594	37528	22773	457	0	530	910	0	0
49	32583	2749599	37528	22773	445	0	530	910	0	0
50	32584	2749604	37524	22773	433	0	530	900	0	0
51	32585	2749609	37522	22777	433	0	530	900	0	0
52	32586	2749614	37518	22777	421	0	530	900	0	0
53	32587	2749619	37518	22777	409	0	540	900	0	0
54	32588	2749624	37518	22766	397	0	540	900	0	0
55	32589	2749629	37518	22736	385	0	540	900	0	0
56	32590	2749634	37518	22724	373	0	540	900	0	0
57	32591	2749639	37518	22716	373	0	540	900	0	0
58	32592	2749644	37521	22705	361	0	540	900	0	0
59	32593	2749649	37526	22705	349	0	550	900	0	0
60	32594	2749654	37535	22705	336	0	550	900	0	0
61	32595	2749659	37540	22705	336	0	550	890	0	0
62	32596	2749664	37545	22705	324	0	560	890	0	0
63	32597	2749669	37550	22714	300	0	560	890	0	0
64	32598	2749674	37558	22724	288	0	560	890	0	0
65	32599	2749679	37567	22733	276	0	560	890	0	0
66	32600	2749684	37576	22742	264	0	570	900	0	0
67	32601	2749689	37579	22756	252	0	570	900	0	0
68	32602	2749694	37587	22765	240	0	570	900	0	0
69	32603	2749699	37599	22778	228	0	570	900	0	0
70	32604	2749704	37611	22786	204	0	580	900	0	0
71	32605	2749709	37626	22797	192	0	580	900	0	0
72	32606	2749714	37644	22809	180	0	580	900	0	0
73	32607	2749719	37662	22822	156	0	590	900	0	0
74	32608	2749724	37668	22837	144	0	590	900	0	0
75	32609	2749729	37673	22850	120	0	590	900	0	0
76	32610	2749734	37685	22862	108	0	600	900	0	0
77	32611	2749739	37702	22875	84	0	600	900	0	0
78	32612	2749744	37718	22888	72	0	600	900	0	0
79	32613	2749749	37722	22901	60	0	610	920	0	0
80	32614	2749754	37729	22906	60	0	610	920	0	0
81	32615	2749759	37740	22923	48	0	610	920	0	0
82	32616	2749764	37746	22926	48	0	620	920	0	0
83	32617	2749769	37749	22934	48	0	620	940	0	0
84	32618	2749774	37759	22940	48	0	620	940	0	0
85	32619	2749779	37765	22945	48	0	620	940	0	0
86	32620	2749784	37768	22949	48	0	630	940	0	0
87	32621	2749789	37778	22950	48	0	630	940	0	0
88	32622	2749794	37780	22950	48	0	630	940	0	0
89	32623	2749799	37785	22950	48	0	630	960	0	0
90	32624	2749804	37794	22950	36	0	630	960	0	0
91	32625	2749809	37799	22950	24	0	640	960	0	0
92	32626	2749814	37803	22942	12	0	640	960	0	0
93	32627	2749819	37807	22933	0	0	640	960	0	0
94	32628	2749824	37810	22926	0	0	640	960	0	0
95	32629	2749829	37813	22920	0	0	640	960	0	0
96	32630	2749834	37818	22917	0	0	640	960	0	0
97	32631	2749839	37823	22916	0	0	640	960	0	0
98	32632	2749844	37829	22916	0	0	640	960	0	0
99	32633	2749849	37835	22916	0	0	640	960	0	0
100	32634	2749854	37842	22916	0	0	650	960	0	0
101	32635	2749859	37850	22924	0	0	650	960	0	0
102	32636	2749864	37858	22935	0	0	650	960	0	0
103	32637	2749869	37865	22946	0	0	650	960	0	0
104	32638	2749874	37872	22957	0	0	650	960	0	0
105	32639	2749879	37876	22968	0	0	650	960	0	0
106	32640	2749884	37880	22977	0	0	650	960	0	0
107	32641	2749889	37883	22984	0	0	650	960	0	0
108	32642	2749894	37885	22992	0	0	660	970	0	0
109	32643	2749899	37885	22997	0	0	660	970	0	0
110	32644	2749906	37885	23001	0	94	660	970	0	0
111	32645	2749911	37885	23004	0	159	660	970	0	0
112	32646	2749916	37886	23008	0	240	660	970	0	0
113	32647	2749921	37887	23010	0	321	660	990	0	0
114	32648	2749926	37888	23013	0	379	660	990	0	0
115	32649	2749931	37889	23016	0	428	660	990	0	0
116	32650	2749936	37889	23018	0	482	660	990	0	0
117	32651	2749941	37890	23020	0	532	660	990	0	0
118	32652	2749946	37891	23022	0	576	660	990	0	0
119	32653	2749951	37892	23023	0	616	660	990	0	0
120	32654	2749956	37892	23023	0	651	660	990	0	0
121	32655	2749961	37893	23024	0	691	660	1010	0	0
122	32656	2749966	37893	23024	0	728	670	1020	0	0
123	32657	2749971	37894	23024	0	761	670	1020	0	0
124	32658	2749976	37894	23024	0	792	670	1020	0	0
125	32659	2749981	37895	23024	0	821	670	1020	0	0
126	32660	2749986	37896	23024	0	844	670	1020	0	0
127	32661	2749991	37896	23024	0	861	670	1020	0	0
128	32662	2749996	37896	23024	0	877	670	1020	0	0
129	32663	2750001	37897	23024	0	894	670	1020	0	0
130	32664	2750006	37897	23024	0	908	670	1020	0	0
131	32665	2750011	37898	23024	0	918	660	1040	0	0
132	32666	2750016	37898	23024	0	928	660	1040	0	0
133	32667	2750021	37898	23024	0	942	660	1040	0	0
134	32668	2750026	37898	23024	0	953	660	1040	0	0
135	32669	2750031	37898	23024	0	963	660	1040	0	0
136	32670	2750036	37899	23024	0	975	660	1040	0	0
137	32671	2750041	37899	23024	0	988	660	1040	0	0
138	32672	2750046	37899	23024	0	998	660	1040	0	0
139	32673	2750051	37899	23024	0	1004	660	1040	0	0
140	32674	2750056	37900	23024	0	1013	660	1040	0	0
141	32675	2750061	37900	23024	0	1023	660	1040	0	0
142	32676	2750066	37901	23024	0	1023	660	1040	0	0
143	32677	2750071	37902	23024	0	1023	660	1040	0	0
144	32678	2750076	37903	23024	0	1023	660	1040	0	0
145	32679	2750081	37906	23024	0	1023	660	1040	0	0
146	32680	2750086	37910	23024	0	1023	660	1040	0	0
147	32681	2750091	37915	23024	0	1023	660	1040	0	0
148	32682	2750096	37921	23024	0	1023	660	1040	0	0
149	32683	2750101	37928	23024	0	1023	660	1040	0	0
150	32684	2750106	37936	23024	0	1023	660	1040	0	0
151	32685	2750111	37945	23024	0	1021	660	1040	0	0
152	32686	2750116	37956	23024	0	1020	660	1040	0	0
153	32687	2750121	37967	23027	0	1018	660	1040	0	0
154	32688	2750126	37978	23030	0	1018	660	1040	0	0
155	32689	2750131	37989	23034	0	1016	660	1040	0	0
156	32690	2750136	38000	23038	0	1018	660	1040	0	0
157	32691	2750141	38012	23044	0	1022	660	1040	0	0
158	32692	2750146	38025	23051	0	1020	660	1040	0	0
159	32693	2750151	38037	23059	0	1015	660	1040	0	0
160	32694	2750156	38050	23070	0	1010	660	1040	0	0
161	32695	2750161	38063	23081	0	1007	660	1040	0	0
162	32696	2750166	38077	23094	0	999	660	1040	0	0
163	32697	2750171	38092	23108	0	993	660	1040	0	0
164	32698	2750176	38107	23125	0	990	670	1050	0	0
165	32699	2750181	38121	23142	0	983	670	1050	0	0
166	32700	2750186	38134	23160	0	976	670	1050	0	0
167	32701	2750191	38146	23177	0	974	670	1050	0	0
168	32702	2750196	38157	23195	0	972	670	1050	0	0
169	32703	2750201	38167	23213	0	966	670	1050	0	0
170	32704	2750206	38176	23231	0	963	670	1050	0	0
171	32705	2750211	38183	23250	0	960	670	1050	0	0
172	32706	2750216	38188	23267	0	960	670	1050	0	0
173	32707	2750221	38193	23284	0	960	670	1050	0	0
174	32708	2750226	38198	23301	0	961	670	1050	0	0
175	32709	2750231	38202	23318	0	954	670	1050	0	0
176	32710	2750236	38204	23337	0	944	670	1070	0	0
177	32711	2750241	38205	23354	0	947	670	1070	0	0
178	32712	2750246	38205	23369	0	940	670	1070	0	0
179	32713	2750251	38205	23383	0	922	670	1070	0	0
180	32714	2750256	38205	23397	0	911	670	1070	0	0
181	32715	2750261	38205	23409	0	907	670	1070	0	0
182	32716	2750266	38205	23420	0	901	670	1070	0	0
183	32717	2750271	38205	23427	0	890	670	1070	0	0
184	32718	2750276	38204	23432	0	882	670	1070	0	0
185	32719	2750281	38199	23435	0	875	670	1070	0	0
186	32720	2750286	38193	23437	0	874	670	1070	0	0
187	32721	2750291	38185	23437	0	877	670	1070	0	0
188	32722	2750296	38177	23437	0	883	670	1070	0	0
189	32723	2750301	38168	23437	0	892	670	1070	0	0
190	32724	2750306	38159	23437	0	897	670	1070	0	0
191	32725	2750311	38150	23437	0	896	670	1070	0	0
192	32726	2750316	38139	23432	0	891	670	1070	0	0
193	32727	2750321	38128	23424	0	899	670	1070	0	0
194	32728	2750326	38115	23415	0	908	670	1070	0	0
195	32729	2750331	38104	23408	0	909	670	1070	0	0
196	32730	2750336	38094	23400	0	913	670	1070	0	0
197	32731	2750341	38086	23392	0	914	670	1070	0	0
198	32732	2750346	38077	23384	0	914	670	1070	0	0
199	32733	2750351	38069	23376	0	916	670	1070	0	0
200	32734	2750356	38062	23368	0	919	660	1060	0	0
201	32735	2750361	38055	23358	0	928	660	1060	0	0
202	32736	2750366	38050	23348	0	933	660	1060	0	0
203	32737	2750371	38045	23336	0	933	660	1060	0	0
204	32738	2750376	38040	23322	0	935	660	1060	0	0
205	32739	2750381	38034	23307	0	936	660	1060	0	0
206	32740	2750386	38028	23290	0	935	660	1060	0	0
207	32741	2750391	38024	23274	0	936	660	1060	0	0
208	32742	2750396	38019	23257	0	935	660	1060	0	0
209	32743	2750401	38016	23241	0	940	660	1060	0	0
210	32744	2750406	38013	23224	0	948	660	1060	0	0
211	32745	2750411	38012	23207	0	949	660	1060	0	0
212	32746	2750416	38011	23190	0	953	660	1060	0	0
213	32747	2750421	38011	23172	0	959	660	1060	0	0
214	32748	2750426	38011	23153	0	960	660	1060	0	0
215	32749	2750431	38011	23132	0	960	660	1060	0	0
216	32750	2750436	38011	23112	0	963	660	1060	0	0
217	32751	2750441	38011	23094	0	969	660	1060	0	0
218	32752	2750446	38012	23077	0	972	660	1040	0	0
219	32753	2750451	38018	23061	0	979	660	1040	0	0
220	32754	2750456	38024	23047	0	979	660	1040	0	0
221	32755	2750461	38030	23036	0	981	660	1040	0	0
222	32756	2750466	38035	23026	0	981	660	1040	0	0
223	32757	2750471	38040	23019	0	982	660	1040	0	0
224	32758	2750476	38047	23010	0	991	660	1040	0	0
225	32759	2750481	38055	23002	0	1003	660	1040	0	0
226	32760	2750486	38063	22995	0	1010	660	1040	0	0
227	32761	2750491	38070	22988	0	1016	660	1040	0	0
228	32762	2750496	38080	22981	0	1023	660	1040	0	0
229	32763	2750501	38092	22975	0	1023	660	1040	0	0
230	32764	2750506	38106	22970	0	1023	660	1040	0	0
231	32765	2750511	38123	22965	0	1023	670	1020	0	0
232	32766	2750516	38139	22961	0	1023	680	1020	0	0
233	32767	2750521	38157	22959	0	1023	680	1020	0	0
234	1	2750526	38176	22956	0	1023	680	1020	0	0
235	2	2750531	38196	22956	0	1023	680	1020	0	0
236	3	2750536	38215	22956	0	1023	680	1020	0	0
237	4	2750541	38233	22956	0	1023	680	1020	0	0
238	5	2750546	38247	22956	0	1023	680	1020	0	0
239	6	2750551	38260	22956	0	1023	680	1020	0	0
240	7	2750556	38271	22956	0	1023	680	1020	0	0
241	8	2750561	38281	22956	0	1023	690	1030	0	0
242	9	2750566	38291	22956	0	1023	690	1030	0	0
243	10	2750571	38301	22956	0	1023	690	1030	0	0
244	11	2750576	38310	22956	0	1023	690	1030	0	0
245	12	2750581	38318	22956	0	1023	690	1030	0	0
246	13	2750586	38328	22956	0	1023	690	1030	0	0
247	14	2750591	38339	22956	0	1023	690	1030	0	0
248	15	2750596	38350	22956	0	1023	680	1050	0	0
249	16	2750601	38361	22956	0	1023	680	1050	0	0
250	17	2750606	38372	22956	0	1023	680	1050	0	0
251	18	2750611	38382	22956	0	1023	690	1060	0	0
252	19	2750616	38391	22956	0	1023	690	1060	0	0
253	20	2750621	38400	22956	0	1023	690	1060	0	0
254	21	2750626	38409	22956	0	1023	690	1060	0	0
255	22	2750631	38416	22956	0	1013	690	1040	0	0
256	23	2750636	38421	22956	0	967	690	1040	0	0
257	24	2750641	38426	22956	0	907	690	1040	0	0
258	25	2750646	38429	22957	0	822	690	1040	0	0
259	26	2750651	38429	22960	0	709	690	1040	0	0
260	27	2750656	38429	22966	0	568	690	1040	0	0
261	28	2750661	38429	22976	0	355	700	1010	0	0
