Temps de latence : 2391 ms

N°Pt	SN	T	X	Y	Z	P	Alt	Azi	Twi	Lever
1	3171	2788655	15347	19826	409	0	540	1130	0	0
2	3172	2788660	15357	19826	926	0	540	1120	0	0
3	3173	2788665	15403	19826	902	0	550	1120	0	0
4	3174	2788670	15445	19826	878	0	550	1120	0	0
5	3175	2788675	15484	19826	846	0	550	1120	0	0
6	3176	2788680	15522	19826	810	0	550	1120	0	0
7	3177	2788685	15545	19826	774	0	550	1110	0	0
8	3178	2788690	15552	19826	738	0	550	1110	0	0
9	3179	2788695	15615	19834	714	0	560	1120	0	0
10	3180	2788700	15678	19837	682	0	560	1100	0	0
11	3181	2788705	15736	19844	645	0	570	1110	0	0
12	3182	2788710	15789	19846	621	0	570	1110	0	0
13	3183	2788715	15838	19846	609	0	570	1090	0	0
14	3184	2788720	15883	19846	621	0	570	1090	0	0
15	3185	2788725	15927	19846	633	0	580	1080	0	0
16	3186	2788730	15973	19846	645	0	580	1080	0	0
17	3187	2788735	16021	19846	669	0	570	1060	0	0
18	3188	2788740	16072	19846	669	0	570	1060	0	0
19	3189	2788745	16126	19842	657	0	560	1040	0	0
20	3190	2788750	16183	19838	633	0	550	1030	0	0
21	3191	2788755	16241	19836	609	0	540	1010	0	0
22	3192	2788760	16299	19835	573	0	540	1000	0	0
23	3193	2788765	16353	19834	537	0	530	990	0	0
24	3194	2788770	16398	19833	513	0	520	990	0	0
25	3195	2788775	16436	19831	493	0	510	970	0	0
26	3196	2788780	16436	19827	481	0	500	970	0	0
27	3197	2788785	16430	19821	469	0	500	960	0	0
28	3198	2788790	16465	19809	457	0	490	960	0	0
29	3199	2788795	16465	19801	457	0	480	960	0	0
30	3200	2788800	16500	19794	457	0	480	940	0	0
31	3201	2788805	16532	19788	457	0	470	940	0	0
32	3202	2788810	16558	19784	445	0	470	940	0	0
33	3203	2788815	16583	19781	445	0	480	940	0	0
34	3204	2788820	16612	19778	433	0	480	930	0	0
35	3205	2788825	16634	19776	433	0	490	930	0	0
36	3206	2788830	16656	19772	421	0	500	940	0	0
37	3207	2788835	16680	19768	421	0	510	940	0	0
38	3208	2788840	16704	19763	409	0	510	940	0	0
39	3209	2788845	16726	19758	409	0	520	940	0	0
40	3210	2788850	16726	19754	397	0	520	940	0	0
41	3211	2788855	16756	19750	385	0	530	940	0	0
42	3212	2788860	16785	19744	373	0	530	940	0	0
43	3213	2788865	16785	19742	361	0	540	940	0	0
44	3214	2788870	16785	19741	349	0	540	940	0	0
45	3215	2788875	16785	19739	328	0	540	940	0	0
46	3216	2788880	16790	19739	316	0	550	940	0	0
47	3217	2788885	16804	19739	292	0	550	940	0	0
48	3218	2788890	16817	19739	280	0	560	940	0	0
49	3219	2788895	16828	19739	268	0	560	940	0	0
50	3220	2788900	16844	19739	244	0	570	960	0	0
51	3221	2788905	16851	19742	232	0	570	950	0	0
52	3222	2788910	16858	19746	220	0	570	950	0	0
53	3223	2788915	16868	19756	208	0	580	950	0	0
54	3224	2788920	16874	19764	208	0	580	950	0	0
55	3225	2788925	16879	19770	196	0	590	950	0	0
56	3226	2788930	16885	19777	196	0	590	950	0	0
57	3227	2788935	16893	19782	196	0	590	950	0	0
58	3228	2788940	16896	19787	196	0	600	950	0	0
59	3229	2788945	16902	19791	196	0	600	950	0	0
60	3230	2788950	16907	19793	196	0	600	950	0	0
61	3231	2788955	16914	19795	196	0	600	950	0	0
62	3232	2788960	16920	19796	196	0	610	950	0	0
63	3233	2788965	16926	19796	196	0	610	950	0	0
64	3234	2788970	16932	19796	196	0	610	950	0	0
65	3235	2788975	16938	19796	184	0	610	950	0	0
66	3236	2788980	16943	19797	184	0	610	950	0	0
67	3237	2788985	16948	19798	172	0	610	950	0	0
68	3238	2788990	16952	19800	172	0	610	950	0	0
69	3239	2788995	16958	19802	164	0	610	950	0	0
70	3240	2789000	16961	19805	152	0	610	950	0	0
71	3241	2789005	16964	19808	152	0	620	960	0	0
72	3242	2789010	16966	19811	140	0	620	960	0	0
73	3243	2789015	16968	19815	128	0	620	960	0	0
74	3244	2789020	16969	19818	128	0	620	960	0	0
75	3245	2789025	16970	19823	116	0	620	960	0	0
76	3246	2789030	16971	19824	104	0	620	960	0	0
77	3247	2789035	16971	19825	104	0	620	960	0	0
78	3248	2789040	16971	19825	104	0	620	960	0	0
79	3249	2789045	16971	19825	104	0	620	960	0	0
80	3250	2789050	16971	19825	92	0	620	960	0	0
81	3251	2789055	16971	19825	92	0	620	960	0	0
82	3252	2789060	16971	19825	92	0	630	960	0	0
83	3253	2789065	16971	19825	92	0	630	960	0	0
84	3254	2789070	16971	19817	104	0	630	960	0	0
85	3255	2789075	16971	19810	104	0	630	960	0	0
86	3256	2789080	16971	19806	104	0	630	960	0	0
87	3257	2789085	16971	19793	104	0	630	960	0	0
88	3258	2789090	16971	19785	104	0	630	940	0	0
89	3259	2789095	16969	19777	104	0	630	940	0	0
90	3260	2789100	16968	19773	104	0	630	940	0	0
91	3261	2789105	16968	19770	104	0	630	940	0	0
92	3262	2789110	16968	19764	104	0	630	940	0	0
93	3263	2789115	16967	19759	104	0	630	940	0	0
94	3264	2789120	16966	19756	92	0	630	940	0	0
95	3265	2789125	16966	19753	92	0	630	940	0	0
96	3266	2789130	16966	19752	92	0	630	940	0	0
97	3267	2789135	16966	19752	92	0	630	940	0	0
98	3268	2789140	16966	19752	80	0	630	940	0	0
99	3269	2789145	16966	19752	80	0	630	940	0	0
100	3270	2789150	16966	19752	80	0	630	940	0	0
101	3271	2789155	16966	19752	68	0	630	940	0	0
102	3272	2789160	16966	19752	68	0	630	940	0	0
103	3273	2789165	16966	19752	56	0	630	940	0	0
104	3274	2789170	16966	19752	56	0	630	940	0	0
105	3275	2789175	16966	19752	44	0	640	940	0	0
106	3276	2789180	16966	19752	32	0	640	940	0	0
107	3277	2789185	16966	19751	32	0	640	940	0	0
108	3278	2789190	16966	19747	20	0	640	940	0	0
109	3279	2789195	16966	19743	20	0	640	940	0	0
110	3280	2789200	16966	19740	8	0	640	940	0	0
111	3281	2789205	16967	19739	8	0	640	920	0	0
112	3282	2789210	16970	19738	0	0	640	920	0	0
113	3283	2789215	16972	19738	0	0	640	920	0	0
114	3284	2789220	16974	19738	0	0	640	920	0	0
115	3285	2789225	16976	19738	0	0	640	920	0	0
116	3286	2789230	16978	19738	0	0	640	920	0	0
117	3287	2789235	16979	19738	0	0	640	920	0	0
118	3288	2789240	16980	19740	0	0	640	920	0	0
119	3289	2789245	16980	19740	0	0	650	920	0	0
120	3290	2789250	16980	19740	0	0	650	920	0	0
121	3291	2789255	16980	19740	0	0	650	920	0	0
122	3292	2789260	16980	19740	0	0	650	920	0	0
123	3293	2789265	16980	19740	0	0	650	920	0	0
124	3294	2789274	16973	19738	0	161	650	920	0	0
125	3295	2789279	16965	19733	0	202	650	920	0	0
126	3296	2789284	16957	19729	0	302	650	920	0	0
127	3297	2789289	16949	19726	0	371	650	920	0	0
128	3298	2789294	16944	19725	0	397	650	920	0	0
129	3299	2789299	16941	19725	0	426	650	920	0	0
130	3300	2789304	16939	19725	0	446	650	920	0	0
131	3301	2789309	16938	19725	0	460	650	920	0	0
132	3302	2789314	16938	19725	0	473	650	920	0	0
133	3303	2789319	16938	19725	0	485	650	940	0	0
134	3304	2789324	16938	19725	0	500	650	940	0	0
135	3305	2789329	16938	19725	0	523	650	940	0	0
136	3306	2789334	16938	19725	0	551	650	940	0	0
137	3307	2789339	16938	19725	0	583	650	940	0	0
138	3308	2789344	16938	19725	0	618	650	940	0	0
139	3309	2789349	16938	19725	0	650	650	940	0	0
140	3310	2789354	16938	19725	0	675	650	940	0	0
141	3311	2789359	16938	19726	0	695	660	940	0	0
142	3312	2789364	16938	19727	0	716	660	940	0	0
143	3313	2789369	16938	19728	0	736	660	940	0	0
144	3314	2789374	16938	19728	0	751	660	940	0	0
145	3315	2789379	16938	19729	0	765	660	940	0	0
146	3316	2789384	16938	19729	0	782	660	940	0	0
147	3317	2789389	16938	19730	0	799	660	940	0	0
148	3318	2789394	16938	19730	0	812	660	940	0	0
149	3319	2789399	16938	19731	0	822	660	940	0	0
150	3320	2789404	16938	19732	0	832	660	940	0	0
151	3321	2789409	16938	19732	0	840	660	970	0	0
152	3322	2789414	16938	19733	0	844	660	970	0	0
153	3323	2789419	16938	19734	0	846	660	970	0	0
154	3324	2789424	16938	19735	0	852	660	970	0	0
155	3325	2789429	16938	19736	0	858	660	970	0	0
156	3326	2789434	16938	19737	0	861	660	970	0	0
157	3327	2789439	16940	19738	0	865	660	970	0	0
158	3328	2789444	16942	19739	0	873	660	970	0	0
159	3329	2789449	16944	19740	0	882	660	970	0	0
160	3330	2789454	16947	19742	0	890	660	970	0	0
161	3331	2789459	16950	19743	0	897	660	970	0	0
162	3332	2789464	16954	19744	0	908	660	970	0	0
163	3333	2789469	16958	19745	0	921	660	970	0	0
164	3334	2789474	16962	19747	0	930	660	970	0	0
165	3335	2789479	16966	19749	0	935	660	970	0	0
166	3336	2789484	16970	19751	0	939	660	970	0	0
167	3337	2789489	16974	19753	0	944	660	970	0	0
168	3338	2789494	16979	19756	0	944	660	970	0	0
169	3339	2789499	16983	19759	0	942	660	970	0	0
170	3340	2789504	16989	19763	0	943	660	970	0	0
171	3341	2789509	16996	19768	0	946	660	970	0	0
172	3342	2789514	17003	19774	0	946	660	970	0	0
173	3343	2789519	17011	19779	0	947	670	970	0	0
174	3344	2789524	17019	19785	0	950	670	970	0	0
175	3345	2789529	17025	19790	0	953	670	970	0	0
176	3346	2789534	17031	19795	0	952	670	970	0	0
177	3347	2789539	17037	19799	0	949	670	970	0	0
178	3348	2789544	17041	19803	0	951	670	990	0	0
179	3349	2789549	17046	19807	0	951	670	990	0	0
